Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-11664,3/28/16,6:35 PM,March,Monday,DISTURBANCE IP,810 N ORRIS DR,LB518,BPD,No Report
B16-11753,3/29/16,1:26 PM,March,Tuesday,DISTURBANCE IP,430 E KIRKWOOD AVE; MAMI'S FALAFEL,LB104,BPD,No Report
B16-11773,3/29/16,3:45 PM,March,Tuesday,DISTURBANCE IP,S WALNUT ST & W 3RD ST,LB103,BPD,No Report
B16-11785,3/29/16,5:20 PM,March,Tuesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,Report
B16-11793,3/29/16,6:50 PM,March,Tuesday,DISTURBANCE IP,413 S WALNUT ST; TOP TEN VIDEO,LB104,BPD,No Report
B16-11820,3/30/16,12:09 AM,March,Wednesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,No Report
B16-11822,3/30/16,12:43 AM,March,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,Report
B16-11837,3/30/16,8:36 AM,March,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B149,LB336,BPD,No Report
B16-11861,3/30/16,1:01 PM,March,Wednesday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,Report
B16-11863,3/30/16,1:20 PM,March,Wednesday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,Report
B16-11877,3/30/16,2:50 PM,March,Wednesday,DISTURBANCE IP,548 S BASSWOOD DR; APT G,LB404,BPD,Report
B16-11884,3/30/16,3:56 PM,March,Wednesday,DISTURBANCE IP,2600 S WALNUT ST; CHASE BANK SOUTH,LB433,BPD,No Report
B16-11898,3/30/16,5:36 PM,March,Wednesday,DISTURBANCE IP,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-11966,3/31/16,6:27 AM,March,Thursday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,No Report
B16-11983,3/31/16,10:53 AM,March,Thursday,DISTURBANCE IP,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,No Report
B16-11993,3/31/16,12:34 PM,March,Thursday,DISTURBANCE IP,2622 N WALNUT ST; APT 136,LB209,BPD,Report
B16-12015,3/31/16,3:28 PM,March,Thursday,DISTURBANCE IP,1014 N ILLINOIS ST,LB517,BPD,No Report
B16-12032,3/31/16,6:43 PM,March,Thursday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B16-12034,3/31/16,6:56 PM,March,Thursday,DISTURBANCE IP,1730 S WALNUT ST; NIGHT MOVES,LB421,BPD,No Report
B16-00080,1/1/16,4:25 PM,January,Friday,DISTURBANCE NP,2911 W JULIES WAY; APT L,LB415,BPD,No Report
B16-00509,1/5/16,9:41 AM,January,Tuesday,DISTURBANCE NP,W STATE ROAD 46 & N STINESVILLE RD,LMN01,BPD,No Report
B16-00562,1/5/16,4:07 PM,January,Tuesday,DISTURBANCE NP,1320 N ARLINGTON PARK DR; THE RESERVE AT CHANDLERS GLEN,LB514,BPD,No Report
B16-00690,1/6/16,3:51 PM,January,Wednesday,DISTURBANCE NP,1309 S PALMER AVE,LB314,BPD,Report
B16-01367,1/11/16,8:30 PM,January,Monday,DISTURBANCE NP,W KIRKWOOD AVE & N MORTON ST; 220 E 3RD ST,LB101,BPD,No Report
B16-01487,1/12/16,6:27 PM,January,Tuesday,DISTURBANCE NP,301 W 17TH ST; SWING IN PIZZA,LB519,BPD,No Report
B16-02548,1/20/16,4:12 PM,January,Wednesday,DISTURBANCE NP,3042 E AMY LN,LB221,BPD,Report
B16-03267,1/25/16,7:25 PM,January,Monday,DISTURBANCE NP,2966 E 3RD ST; TARGET,LB305,BPD,No Report
B16-03541,1/27/16,5:24 PM,January,Wednesday,DISTURBANCE NP,2373 S WINSLOW CT,LB326,BPD,No Report
B16-03659,1/28/16,1:41 PM,January,Thursday,DISTURBANCE NP,1261 W ALLEN ST,LB413,BPD,No Report
B16-03799,1/29/16,1:29 PM,January,Friday,DISTURBANCE NP,3070 N PROW RD; HOOSIER HILLS CAREER CENTER,LB508,BPD,Report
B16-04136,1/31/16,4:17 PM,January,Sunday,DISTURBANCE NP,911 N SUMMIT ST,LB517,BPD,No Report
B16-05840,2/15/16,10:57 AM,February,Monday,DISTURBANCE NP,RBT S SARE RD AT E ROGERS RD; 3800 WOODS EDGE BEND,LB332,BPD,No Report
B16-05991,2/16/16,4:57 PM,February,Tuesday,DISTURBANCE NP,986 S COPPER BEECH WAY; APT A,LB415,BPD,No Report
B16-06610,2/20/16,11:01 PM,February,Saturday,DISTURBANCE NP,153 E KENNEDY CT,LB336,BPD,No Report
B16-08116,3/3/16,8:19 AM,March,Thursday,DISTURBANCE NP,405 E 17TH ST; APT F2,LB212,BPD,No Report
B16-08590,3/6/16,10:52 AM,March,Sunday,DISTURBANCE NP,425 N HAY ST,LB521,BPD,No Report
B16-08796,3/7/16,8:13 PM,March,Monday,DISTURBANCE NP,541 W TERRY LN; APT C,LB513,BPD,Report
B16-09003,3/9/16,2:24 AM,March,Wednesday,DISTURBANCE NP,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B16-09782,3/14/16,2:26 PM,March,Monday,DISTURBANCE NP,1709 W 8TH ST; VALHALLA MOBILE MANOR; LOT 14,LB521,BPD,No Report
B16-11118,3/24/16,5:38 PM,March,Thursday,DISTURBANCE NP,2500 S ROCKPORT RD; APT 1804,LB424,BPD,No Report
B16-11208,3/25/16,9:30 AM,March,Friday,DISTURBANCE NP,1890 S WALNUT ST; APT 19,LB421,BPD,No Report
B16-00007,1/1/16,12:58 AM,January,Friday,DRUNK,S WALNUT ST & E 1ST ST,LB410,BPD,Report
B16-00019,1/1/16,1:51 AM,January,Friday,DRUNK,207 S COLLEGE AVE; BACK DOOR BAR,LB103,BPD,No Report
B16-00024,1/1/16,3:03 AM,January,Friday,DRUNK,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,Report
B16-00036,1/1/16,5:47 AM,January,Friday,DRUNK,2301 E 2ND ST; APT 24,LB304,BPD,No Report
B16-00040,1/1/16,6:58 AM,January,Friday,DRUNK,125 S PARK RIDGE RD; APT 2,LB219,BPD,No Report
B16-00246,1/2/16,11:27 PM,January,Saturday,DRUNK,1775 S HENDERSON ST,LB316,BPD,No Report
B16-00356,1/4/16,12:33 AM,January,Monday,DRUNK,1218 N CRESCENT RD,LB517,BPD,No Report
B16-00472,1/4/16,10:35 PM,January,Monday,DRUNK,200 E 7TH ST,LB102,BPD,No Report
B16-00703,1/6/16,5:18 PM,January,Wednesday,DRUNK,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,No Report
B16-01034,1/9/16,3:05 AM,January,Saturday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,Report
B16-01151,1/10/16,12:21 AM,January,Sunday,DRUNK,1890 S WALNUT ST,LB421,BPD,No Report
B16-01497,1/12/16,7:55 PM,January,Tuesday,DRUNK,2504 E 3RD ST,LB304,BPD,No Report
B16-01541,1/13/16,8:04 AM,January,Wednesday,DRUNK,454 S WESTPLEX AVE; APT 308,LB406,BPD,No Report
B16-01647,1/14/16,2:37 AM,January,Thursday,DRUNK,S PATTERSON DR & W 3RD ST,LB406,BPD,Report
B16-01704,1/14/16,1:42 PM,January,Thursday,DRUNK,E 3RD ST & S PETE ELLIS DR,LB305,BPD,No Report
B16-01779,1/14/16,8:46 PM,January,Thursday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,No Report
B16-01816,1/15/16,2:17 AM,January,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-01972,1/15/16,11:05 PM,January,Friday,DRUNK,W STAPLETON AVE & S LEONARD SPRINGS RD,LB427,BPD,No Report
B16-01978,1/16/16,12:12 AM,January,Saturday,DRUNK,2949 W 3RD ST; AMC SHOWPLACE THEATER 12 WEST,LB404,BPD,No Report
B16-02111,1/16/16,11:36 PM,January,Saturday,DRUNK,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,No Report
B16-02134,1/17/16,3:51 AM,January,Sunday,DRUNK,501 N COLLEGE AVE; SPRINGHILL SUITES,LB101,BPD,No Report
B16-02344,1/18/16,10:23 PM,January,Monday,DRUNK,S WALNUT ST & E GRIMES LN,LB314,BPD,No Report
B16-02497,1/20/16,1:13 AM,January,Wednesday,DRUNK,105 W 7TH ST; VIDEO SALOON,LB101,BPD,Report
B16-02499,1/20/16,3:00 AM,January,Wednesday,DRUNK,S ROGERS ST & W 1ST ST,LB409,BPD,No Report
B16-02502,1/20/16,3:59 AM,January,Wednesday,DRUNK,601 N COLLEGE AVE; apt 312,LB519,BPD,No Report
B16-02545,1/20/16,4:30 PM,January,Wednesday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-02576,1/20/16,8:02 PM,January,Wednesday,DRUNK,301 S WALNUT ST,LB104,BPD,No Report
B16-02764,1/22/16,1:48 AM,January,Friday,DRUNK,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,No Report
B16-02765,1/22/16,2:01 AM,January,Friday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-02766,1/22/16,2:10 AM,January,Friday,DRUNK,S PATTERSON DR & W PROSPECT ST,LB406,BPD,No Report
B16-02772,1/22/16,3:36 AM,January,Friday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-02988,1/23/16,5:22 PM,January,Saturday,DRUNK,S PARK AVE & E 2ND ST,LB302,BPD,No Report
B16-03395,1/26/16,5:03 PM,January,Tuesday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-03491,1/27/16,9:47 AM,January,Wednesday,DRUNK,106 N WALNUT ST; MALIBU GRILL,LB102,BPD,No Report
B16-03495,1/27/16,10:04 AM,January,Wednesday,DRUNK,303 E KIRKWOOD AVE; MONROE CO PUBLIC LIBRARY,LB102,BPD,No Report
B16-03538,1/27/16,4:38 PM,January,Wednesday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-03740,1/29/16,12:47 AM,January,Friday,DRUNK,S WALNUT ST & E 1ST ST,LB410,BPD,No Report
B16-03755,1/29/16,5:02 AM,January,Friday,DRUNK,1724 S WALNUT ST; WEE WILLIES,LB421,BPD,No Report
B16-03872,1/29/16,9:47 PM,January,Friday,DRUNK,W DODDS ST & S MORTON ST,LB411,BPD,No Report
B16-03889,1/29/16,11:47 PM,January,Friday,DRUNK,105 N OVERHILL DR,LB222,BPD,No Report
B16-03941,1/30/16,12:41 PM,January,Saturday,DRUNK,208 N WALNUT ST; RESTAURANT TALLENT,LB102,BPD,No Report
B16-03973,1/30/16,4:07 PM,January,Saturday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-04030,1/30/16,10:19 PM,January,Saturday,DRUNK,3021 E 3RD ST; SPEEDWAY EAST; SPEEDWAY,LB221,BPD,No Report
B16-04064,1/31/16,12:40 AM,January,Sunday,DRUNK,1480 N KINSER PIKE; AXIS 812,LB512,BPD,No Report
B16-04076,1/31/16,3:37 AM,January,Sunday,DRUNK,4405 E 3RD ST;BP,LB219,BPD,No Report
B16-04273,2/1/16,5:18 PM,February,Monday,DRUNK,530 S WALNUT ST,LB410,BPD,No Report
B16-04415,2/2/16,8:34 PM,February,Tuesday,DRUNK,301 S WALNUT ST ;TRANSIT,LB104,BPD,No Report
B16-04425,2/2/16,10:21 PM,February,Tuesday,DRUNK,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,No Report
B16-04440,2/3/16,3:26 AM,February,Wednesday,DRUNK,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,No Report
B16-04496,2/3/16,2:04 PM,February,Wednesday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,No Report
B16-04553,2/4/16,1:04 AM,February,Thursday,DRUNK,217 W 6TH ST,LB101,BPD,No Report
B16-04581,2/4/16,9:58 AM,February,Thursday,DRUNK,532 S WALNUT ST; ACE PAWN SHOP SOUTH,LB410,BPD,No Report
B16-04741,2/5/16,5:09 PM,February,Friday,DRUNK,303 E KIRKWOOD AVE; LIBRARY,LB102,BPD,No Report
B16-04798,2/6/16,4:34 AM,February,Saturday,DRUNK,W BLOOMFIELD RD & W ALLEN ST,LB414,BPD,No Report
B16-04799,2/6/16,4:54 AM,February,Saturday,DRUNK,300 S COLLEGE MALL RD; STEAK AND SHAKE EAST,LB305,BPD,Report
B16-04873,2/6/16,7:10 PM,February,Saturday,DRUNK,119 S PARK RIDGE RD; PAVILION PARK; APT 5,LB219,BPD,No Report
B16-05009,2/8/16,1:37 AM,February,Monday,DRUNK,301 S WALNUT ST,LB104,BPD,No Report
B16-05063,2/8/16,2:14 PM,February,Monday,DRUNK,401 S WASHINGTON ST; MIDDLE WAY HOUSE THE RISE,LB104,BPD,No Report
B16-05268,2/10/16,4:18 PM,February,Wednesday,DRUNK,303 E KIRKWOOD AVE; LIBRARY,LB102,BPD,No Report
B16-05562,2/13/16,2:13 AM,February,Saturday,DRUNK,2316 E 10TH ST,LB222,BPD,No Report
B16-05633,2/13/16,6:13 PM,February,Saturday,DRUNK,1402 S MADISON ST,LB412,BPD,Report
B16-05652,2/13/16,9:13 PM,February,Saturday,DRUNK,1021 S WALNUT ST,LB314,BPD,No Report
B16-05690,2/14/16,12:43 AM,February,Sunday,DRUNK,610 N LINCOLN ST,LB213,BPD,No Report
B16-05697,2/14/16,2:03 AM,February,Sunday,DRUNK,S COLLEGE AVE & W 4TH ST,LB103,BPD,No Report
B16-05810,2/15/16,12:40 AM,February,Monday,DRUNK,527 N WALNUT ST; DOMINOS PIZZA NORTH,LB101,BPD,No Report
B16-05817,2/15/16,3:54 AM,February,Monday,DRUNK,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,No Report
B16-05895,2/15/16,9:42 PM,February,Monday,DRUNK,400 S OPPORTUNITY LN; AGAPE WOMENS SHELTER,LB404,BPD,Report
B16-06468,2/20/16,2:13 AM,February,Saturday,DRUNK,N WASHINGTON ST & E 6TH ST,LB102,BPD,Report
B16-06570,2/20/16,6:25 PM,February,Saturday,DRUNK,2516 E EASTGATE LN,LB222,BPD,No Report
B16-06600,2/20/16,9:43 PM,February,Saturday,DRUNK,212 S OVERHILL DR,LB222,BPD,No Report
B16-06617,2/20/16,11:43 PM,February,Saturday,DRUNK,111 N DUNN ST,LB102,BPD,No Report
B16-06648,2/21/16,3:12 AM,February,Sunday,DRUNK,221 E 9TH ST,LB102,BPD,No Report
B16-06649,2/21/16,3:18 AM,February,Sunday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,No Report
B16-06652,2/21/16,3:36 AM,February,Sunday,DRUNK,200 E STATE ROAD 45 46 BYPASS; DAYS INN BLOOMINGTON,LB212,BPD,No Report
B16-06756,2/21/16,11:33 PM,February,Sunday,DRUNK,105 W 4TH ST; 4TH STREET PARKING GARAGE,LB103,BPD,No Report
B16-06918,2/23/16,1:51 AM,February,Tuesday,DRUNK,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,No Report
B16-07180,2/25/16,12:32 AM,February,Thursday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-07244,2/25/16,4:22 PM,February,Thursday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-07255,2/25/16,5:38 PM,February,Thursday,DRUNK,3477 W 3RD ST; PLANET FITNESS,LB403,BPD,No Report
B16-07271,2/25/16,8:27 PM,February,Thursday,DRUNK,221 E KIRKWOOD AVE; ESAN THAI RESTAURANT; VICTORIA TOWERS,LB102,BPD,No Report
B16-07475,2/27/16,12:00 PM,February,Saturday,DRUNK,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,No Report
B16-07518,2/27/16,5:42 PM,February,Saturday,DRUNK,N ROGERS ST & W 7TH ST,LB101,BPD,No Report
B16-07530,2/27/16,6:52 PM,February,Saturday,DRUNK,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,No Report
B16-07600,2/28/16,2:34 AM,February,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-07609,2/28/16,3:37 AM,February,Sunday,DRUNK,2500 S ROCKPORT RD;COUNTRY VIEW APTS,LB424,BPD,No Report
B16-07610,2/28/16,3:40 AM,February,Sunday,DRUNK,706 W 3RD ST,LB408,BPD,No Report
B16-07666,2/28/16,7:15 PM,February,Sunday,DRUNK,110 S FRANKLIN RD; TEXAS ROADHOUSE,LB523,BPD,No Report
B16-07686,2/28/16,10:31 PM,February,Sunday,DRUNK,3300 W 3RD ST; ARBYS WEST,LB524,BPD,No Report
B16-07736,2/29/16,10:20 AM,February,Monday,DRUNK,3702 W 3RD ST; TACO BELL WEST,LB524,BPD,No Report
B16-07782,2/29/16,4:57 PM,February,Monday,DRUNK,210 E KIRKWOOD AVE; OLD NATIONAL BANK,LB104,BPD,No Report
B16-07845,3/1/16,4:50 AM,March,Tuesday,DRUNK,2440 S HENDERSON ST; APT 202,LB327,BPD,No Report
B16-07967,3/2/16,7:07 AM,March,Wednesday,DRUNK,302 S COLLEGE AVE; BLGTN/MOROE COUNTY CONVENTION CENTER,LB103,BPD,No Report
B16-08075,3/2/16,10:46 PM,March,Wednesday,DRUNK,530 S COLLEGE MALL RD; CIRCLE S COLLEGE MALL,LB305,BPD,No Report
B16-08213,3/3/16,8:06 PM,March,Thursday,DRUNK,301 S WALNUT ST; BLOOMINGTON TRANSIT,LB104,BPD,No Report
B16-08230,3/3/16,10:58 PM,March,Thursday,DRUNK,245 N COLLEGE AVE; HILTON GARDENS INN BLOOMINGTON,LB101,BPD,No Report
B16-08261,3/4/16,4:12 AM,March,Friday,DRUNK,619 E 1ST ST,LB302,BPD,No Report
B16-08318,3/4/16,2:02 PM,March,Friday,DRUNK,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B16-08344,3/4/16,4:59 PM,March,Friday,DRUNK,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,No Report
B16-08377,3/4/16,9:15 PM,March,Friday,DRUNK,2894 E 3RD ST,LB305,BPD,No Report
B16-08396,3/4/16,11:15 PM,March,Friday,DRUNK,320 E 10TH ST,LB102,BPD,Report
B16-08402,3/5/16,12:01 AM,March,Saturday,DRUNK,415 N WALNUT ST; PAPA JOHNS PIZZA NORTH,LB101,BPD,Report
B16-08558,3/6/16,1:41 AM,March,Sunday,DRUNK,455 N COLLEGE AVE; SMALLWOOD PLAZA,LB101,BPD,No Report
B16-08562,3/6/16,2:14 AM,March,Sunday,DRUNK,1305 S PARK AVE,LB313,BPD,No Report
B16-08565,3/6/16,2:30 AM,March,Sunday,DRUNK,2420 E 3RD ST; FIRST BAPTIST CHURCH,LB304,BPD,No Report
B16-08569,3/6/16,3:49 AM,March,Sunday,DRUNK,2910 W 3RD ST; MCDONALDS WEST,LB523,BPD,No Report
B16-08577,3/6/16,7:45 AM,March,Sunday,DRUNK,N WALNUT ST & E 17TH ST,LB512,BPD,No Report
B16-08648,3/6/16,8:47 PM,March,Sunday,DRUNK,N WALNUT ST & E 7TH ST,LB102,BPD,No Report
B16-08653,3/6/16,9:50 PM,March,Sunday,DRUNK,W 11TH ST & N COLLEGE AVE,LB519,BPD,No Report
B16-08803,3/7/16,9:31 PM,March,Monday,DRUNK,301 S WALNUT ST,LB104,BPD,No Report
B16-08983,3/8/16,11:58 PM,March,Tuesday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,Report
B16-09009,3/9/16,4:08 AM,March,Wednesday,DRUNK,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B16-09214,3/10/16,10:47 AM,March,Thursday,DRUNK,E GRAHAM PL & S HENDERSON ST,LB327,BPD,No Report
B16-09289,3/10/16,9:17 PM,March,Thursday,DRUNK,S WASHINGTON ST & E 3RD ST,LB104,BPD,No Report
B16-09481,3/12/16,2:01 AM,March,Saturday,DRUNK,N COLLEGE AVE & W 10TH ST,LB101,BPD,Report
B16-09494,3/12/16,7:03 AM,March,Saturday,DRUNK,211 N WALNUT ST; BTOWN DINER,LB101,BPD,No Report
B16-09579,3/12/16,7:11 PM,March,Saturday,DRUNK,N COLLEGE AVE & W 7TH ST,LB101,BPD,No Report
B16-09659,3/13/16,1:08 PM,March,Sunday,DRUNK,2311 S ROCKPORT RD,LB423,BPD,No Report
B16-09717,3/13/16,9:44 PM,March,Sunday,DRUNK,720 W DIXIE ST,LB412,BPD,No Report
B16-09783,3/14/16,2:36 PM,March,Monday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-10219,3/18/16,1:56 AM,March,Friday,DRUNK,S WASHINGTON ST & E 1ST ST,LB301,BPD,No Report
B16-10224,3/18/16,2:45 AM,March,Friday,DRUNK,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,No Report
B16-10298,3/18/16,4:30 PM,March,Friday,DRUNK,455 N COLLEGE AVE,LB101,BPD,No Report
B16-10314,3/18/16,6:23 PM,March,Friday,DRUNK,1101 N WOODBURN AVE,LB519,BPD,No Report
B16-10315,3/18/16,6:33 PM,March,Friday,DRUNK,455 N COLLEGE AVE,LB101,BPD,No Report
B16-10464,3/20/16,12:37 AM,March,Sunday,DRUNK,S HEATHERWOOD LN & W IRIS LN,LB428,BPD,No Report
B16-10467,3/20/16,1:02 AM,March,Sunday,DRUNK,216 N WALNUT ST; BLUE BIRD,LB102,BPD,Report
B16-10479,3/20/16,2:24 AM,March,Sunday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-10480,3/20/16,2:36 AM,March,Sunday,DRUNK,E 4TH ST & S DUNN ST,LB104,BPD,No Report
B16-10481,3/20/16,2:39 AM,March,Sunday,DRUNK,216 N WALNUT ST; BLUE BIRD,LB102,BPD,No Report
B16-10490,3/20/16,4:42 AM,March,Sunday,DRUNK,S LINCOLN ST & E KIRKWOOD AVE,LB104,BPD,No Report
B16-10671,3/21/16,6:22 PM,March,Monday,DRUNK,125 N COLLEGE AVE; SCHOLARS INN,LB101,BPD,Report
B16-10695,3/21/16,8:28 PM,March,Monday,DRUNK,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-10696,3/21/16,8:46 PM,March,Monday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-10707,3/21/16,9:47 PM,March,Monday,DRUNK,2544 E 3RD ST; TOTAL TAN EASTSIDE,LB304,BPD,No Report
B16-10738,3/22/16,3:45 AM,March,Tuesday,DRUNK,3939 W 3RD ST; SPEEDWAY WEST,LB403,BPD,No Report
B16-10838,3/22/16,9:29 PM,March,Tuesday,DRUNK,108 E KIRKWOOD AVE; FARMBLOOMINGTON,LB104,BPD,No Report
B16-10843,3/22/16,10:03 PM,March,Tuesday,DRUNK,3911 W MAYBURY MALL; APT 12,LB428,BPD,No Report
B16-10861,3/22/16,11:17 PM,March,Tuesday,DRUNK,101 N COLLEGE AVE; THE TAP,LB101,BPD,No Report
B16-10877,3/22/16,11:54 PM,March,Tuesday,DRUNK,305 N WASHINGTON ST,LB102,BPD,No Report
B16-10901,3/23/16,3:20 AM,March,Wednesday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-11034,3/24/16,12:37 AM,March,Thursday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,Report
B16-11096,3/24/16,4:17 PM,March,Thursday,DRUNK,211 N WALNUT ST; BTOWN DINER; STE 1,LB101,BPD,No Report
B16-11110,3/24/16,5:28 PM,March,Thursday,DRUNK,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,No Report
B16-11176,3/24/16,11:27 PM,March,Thursday,DRUNK,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,No Report
B16-11193,3/25/16,3:50 AM,March,Friday,DRUNK,S WALNUT ST & W 3RD ST,LB103,BPD,No Report
B16-11260,3/25/16,6:44 PM,March,Friday,DRUNK,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,Report
B16-11283,3/25/16,9:54 PM,March,Friday,DRUNK,N DUNN ST & E 6TH ST,LB102,BPD,No Report
B16-11305,3/26/16,12:11 AM,March,Saturday,DRUNK,574 S LANDMARK AVE; WILLIAMS BROS PHARMACY,LB406,BPD,No Report
B16-11432,3/26/16,8:30 PM,March,Saturday,DRUNK,N DUNN ST & E 9TH ST,LB102,BPD,No Report
B16-11438,3/26/16,9:14 PM,March,Saturday,DRUNK,117 S FRANKLIN RD; HOLIDAY INN EXPRESS,LB523,BPD,Report
B16-11451,3/26/16,10:23 PM,March,Saturday,DRUNK,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,No Report
B16-11465,3/27/16,12:17 AM,March,Sunday,DRUNK,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,Report
B16-11483,3/27/16,4:25 AM,March,Sunday,DRUNK,1919 N COLLEGE AVE; STEAK N SHAKE NORTH,LB512,BPD,No Report
B16-11505,3/27/16,12:43 PM,March,Sunday,DRUNK,S WALNUT ST & E 1ST ST,LB410,BPD,No Report
B16-11555,3/27/16,10:21 PM,March,Sunday,DRUNK,217 W KIRKWOOD AVE; HYATT PLACE HOTEL,LB103,BPD,No Report
B16-11765,3/29/16,3:05 PM,March,Tuesday,DRUNK,1332 W ARCH HAVEN AVE,LB406,BPD,Report
B16-11780,3/29/16,4:48 PM,March,Tuesday,DRUNK,3207 E 3RD ST; BIG RED LIQUORS E 3RD ST,LB221,BPD,No Report
B16-11789,3/29/16,6:33 PM,March,Tuesday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,No Report
B16-11830,3/30/16,4:31 AM,March,Wednesday,DRUNK,N GRANT ST & E 9TH ST,LB102,BPD,No Report
B16-11888,3/30/16,4:28 PM,March,Wednesday,DRUNK,124 E KIRKWOOD AVE; MARDON SALON,LB104,BPD,No Report
B16-00009,1/1/16,12:46 AM,January,Friday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,No Report
B16-00020,1/1/16,2:03 AM,January,Friday,NOISE,703 W GOURLEY PIKE; APT 38,LB513,BPD,No Report
B16-00023,1/1/16,2:27 AM,January,Friday,NOISE,2500 S ROCKPORT RD; COUNTRY VIEW APARTMENTS,LB424,BPD,No Report
B16-00032,1/1/16,3:35 AM,January,Friday,NOISE,2500 S ROCKPORT RD,LB424,BPD,No Report
B16-00248,1/2/16,11:36 PM,January,Saturday,NOISE,2629 E EDWARDS ROW,LB222,BPD,No Report
B16-00249,1/2/16,11:43 PM,January,Saturday,NOISE,2268 S OAKDALE DR,LB417,BPD,No Report
B16-00260,1/3/16,4:11 AM,January,Sunday,NOISE,911 E EMINENCE WAY,LB316,BPD,No Report
B16-00262,1/3/16,4:31 AM,January,Sunday,NOISE,305 E 1ST ST,LB301,BPD,No Report
B16-00367,1/4/16,3:13 AM,January,Monday,NOISE,573 W GRANITE DR; apt b,LB513,BPD,No Report
B16-00415,1/4/16,1:54 PM,January,Monday,NOISE,1501 S WALNUT ST,LB315,BPD,No Report
